;Sist;Subs;Equ;Comp;Equipo;Componente;Parte;Tipo_equipo;Criticidad;Sigla;Tag;Plan;AMEF;RO;RO-S2-R1;RO-S2-M1;RO-S2-TO;RO-S2-CT;RO-S2-LAA;RO-S1-M1;RO-S1-R1;RO-S1-TO;RO-S1-CT;RO-S1-LAA;RO-LIN-VH;RO-EDF-ECT;RO-EDF-ECM;RO-EDF-EJL;RO-S2-R1-TMC;AM;AM-S1-R1;AM-S1-M1;AM-S1-R2;AM-S1-TO;AM-S1-CT;AM-S1-CT1;AM-S1-LAA;AM-S2-R1;AM-S2-M1;AM-S2-TO;AM-S2-CT;AM-S2-LAA;AM-LIN-VH;AM-EDF-ELB;AM-EDF-ESS;AM-EDF-EBA;AM-EDF-EMR;AM-S1-M1-TMC;AZ;AZ-S1-M1;AZ-S1-I1;AZ-S1-I2;AZ-S1-R1;AZ-S1-TO;AZ-S1-CT;AZ-S1-LAA;AZ-S2-R1;AZ-S2-M1;AZ-S2-TO;AZ-S2-CT;AZ-S2-LAA;AZ-LIN-VH;AZ-EDF-EDJ;AZ-EDF-ELD;AZ-EDF-ELP;AZ-EDF-EUP;AZ-EDF-ERS;AZ-S1-M1-TMC;AZ-S2-M1-TMC;MO;MO-S1-M1;MO-S1-R1;MO-S1-TO;MO-S1-CT;MO-S1-VH;MO-S1-LAA;MO-S2-M1;MO-S2-R1;MO-S2-TO;MO-S2-CT;MO-S2-VH;MO-S2-LAA;MO-EDF-ESJ;MO-EDF-EFM1;MO-EDF-EFM2;MO-EDF-E6M;MO-S1-M1-TMC;MO-S2-M1-TMC;VE;VE-S2-R1;VE-S2-I1;VE-S2-M1;VE-S2-TO;VE-S2-CT;VE-S2-LAA;VE-S1-M1;VE-S1-R1;VE-S1-TO;VE-S1-CT;VE-S1-LAA;VE-LIN-VH;VE-EDF-EIR;VE-EDF-EOB;VE-EDF-EAO;VE-EDF-ELB;VE-S2-I1-TMC;BL;BL-S1-M1;BL-S1-R1;BL-S1-TO;BL-S1-CT;BL-S1-LAA;BL-S2-R1;BL-S2-I1;BL-S2-M1;BL-S2-TO;BL-S2-CT;BL-S2-LAA;BL-LIN-VH;BL-EDF-ESJ;BL-EDF-ETR;BL-EDF-EBH;BL-EDF-EVI;BL-S1-M1-TMC;BL-S2-M1-TMC;NA;NA-S1-R1;NA-S1-I1;NA-S1-M1;NA-S1-TO;NA-S1-CT;NA-S1-LAA;NA-S2-M1;NA-S2-R1;NA-S2-TO;NA-S2-CT;NA-S2-LAA;NA-LIN-VH;NA-EDF-ECN;NA-EDF-EAR;NA-EDF-EPE;NA-EDF-EVI;NA-S1-R1-TMC;CE;CE-S1-R1;CE-S1-M1;CE-S1-TO;CE-S1-CT;CE-S1-LAA;CE-S2-R1;CE-S2-M1;CE-S2-R2;CE-S2-TO;CE-S2-CT;CE-S2-CT.1;CE-S2-LAA;CE-LIN-VH;CE-EDF-ELI;CE-EDF-EPT;CE-EDF-ETR;CE-EDF-EEP;CE-S1-R1-TMC;CA;CA-S1-R1;CA-S1-M1;CA-S1-CT;CA-S1-TO;CA-S1-LAA;CA-LIN-VH;CA-EDF-EVL;CA-EDF-EBU;CA-S1-M1-TMC;PL;PL-S1-M1;PL-S1-I1;PL-S1-R1;PL-S1-TO;PL-S1-CT;PL-S1-LAA;PL-LIN-VH;PL-EDF-E16;PL-EDF-EFM;PL-EDF-EMR;PL-S1-I1-TMC;Unnamed: 109
10;ACC;PRI;MEPR;DIR;;DISCO DE INERCIA DE RESPALDO;;Componente;ALTA;DIR;ACC-PRI-MEPR-DIR;;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;ACC;PRI;AMR;;ACOPLE MOTOR - REDUCTOR;;;Equipo;ALTA;AMR;ACC-PRI-AMR;;True;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;ACC;PRI;AMR;ATC;;ACOPLE TIPO CARDAN;;Componente;ALTA;ATC;ACC-PRI-AMR-ATC;ACOPLE TIPO CARDAN;True;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;ACC;PRI;AMR;DIN1;;DISCO DE INERCIA 1;;Componente;ALTA;DIN1;ACC-PRI-AMR-DIN1;DISCO DE INERCIA;True;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;ACC;PRI;AMR;DIN2;;DISCO DE INERCIA 2;;Componente;ALTA;DIN2;ACC-PRI-AMR-DIN2;DISCO DE INERCIA;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;ACC;PRI;RPR;;REDUCTOR PRINCIPAL;;;Equipo;MUY ALTA;RPR;ACC-PRI-RPR;;True;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;ACC;PRI;RPR;ERP;;ESTRUCTURA DEL REDUCTOR PRINCIPAL;;Componente;MUY ALTA;ERP;ACC-PRI-RPR-ERP;ESTRUCTURA DEL REDUCTOR PRINCIPAL;True;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;ACC;PRI;RPR;ECR;;ELEMENTOS DE CONTROL DE REFRIGERACION;;Componente;MUY ALTA;ECR;ACC-PRI-RPR-ECR;ELEMENTOS DE CONTROL DE REFRIGERACIÓN REDUCTOR;True;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;ACC;PRI;RAR;;REFRIGERACIÓN DE ACEITE-REDUCTOR;;;Equipo;ALTA;RAR;ACC-PRI-RAR;;True;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;ACC;PRI;RAR;RIC;;RADIADOR  INTERCAMBIADOR DE CALOR;;Componente;ALTA;RIC;ACC-PRI-RAR-RIC;RADIADOR  INTERCAMBIADOR DE CALOR;True;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;ACC;PRI;RAR;BRE;;BOMBA DE RECIRCULACIÓN;;Componente;ALTA;BRE;ACC-PRI-RAR-BRE;BOMBA DE RECIRCULACIÓN;True;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;ACC;PRI;RAR;CHRA;;CIRCUITO HIDRAULICO REFRIGERACION ACEITE;;Componente;ALTA;CHRA;ACC-PRI-RAR-CHRA;CIRCUITO HIDRAULICO REFRIGERACIÓN ACEITE;True;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;ACC;PRI;ATRA;;ÁRBOL DE TRANSMISIÓN;;;Equipo;ALTA;ATRA;ACC-PRI-ATRA;;False;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;ACC;PRI;ATRA;EAAT;; ACOPLAMIENTO DEL ARBOL DE TRANSMISION;;Componente;ALTA;EAAT;ACC-PRI-ATRA-EAAT; ACOPLAMIENTO DEL ARBOL DE TRANSMISION ;False;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;ACC;PRI;ATRA;EPAT;;PROTECCION DEL ARBOL DE  TRANSMISION;;Componente;ALTA;EPAT;ACC-PRI-ATRA-EPAT;PROTECCION DEL ARBOL DE TRANSMISION ;False;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;ACC;PRI;ACV;;ACOPLAMIENTO VOLANTE;;;Equipo;ALTA;ACV;ACC-PRI-ACV;;False;True;True;True;False;False;False;True;True;False;False;False;False;False;False;False;False;True;True;True;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;True;True;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;ACC;PRI;ACV;EAVM;;ACOPLAMIENTO DEL VOLANTE MOTRIZ;;Componente;ALTA;EAVM;ACC-PRI-ACV-EAVM;ACOPLAMIENTO DEL VOLANTE MOTRIZ;False;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;ACC;PRI;ACV;EAVR;;ACOPLAMIENTO DEL VOLANTE RETORNO;;Componente;ALTA;EAVR;ACC-PRI-ACV-EAVR;ACOPLAMIENTO DEL VOLANTE RETORNO;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;ACC;PRI;VMO;;VOLANTE;;;Equipo;MUY ALTA;VMO;ACC-PRI-VMO;;False;True;True;True;False;False;False;True;True;False;False;False;False;False;False;False;False;True;True;True;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;True;True;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;ACC;PRI;VMO;ERV;;ESTRUCTURA Y REVESTIMIENTO DE VOLANTE;;Componente;MUY ALTA;ERV;ACC-PRI-VMO-ERV;ESTRUCTURA Y REVESTIMIENTO DE VOLANTE;False;True;True;True;False;False;False;True;True;False;False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;True;True;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;ACC;PRI;VMO;ERV;;ESTRUCTURA Y REVESTIMIENTO DE VOLANTE DOBLE GARGANTA;;Componente;MUY ALTA;ERVD;ACC-PRI-VMO-ERVD;ESTRUCTURA Y REVESTIMIENTO DE VOLANTE DOBLE GARGANTA;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
